year,state,fips,gender,births
2007,Alabama,01,female,31942
2007,Alabama,01,male,32862
2007,Alabama,01,total,64804
2007,Alaska,02,female,5373
2007,Alaska,02,male,5679
2007,Alaska,02,total,11052
2007,Arizona,04,female,50300
2007,Arizona,04,male,52681
2007,Arizona,04,total,102981
2007,Arkansas,05,female,20185
2007,Arkansas,05,male,21193
2007,Arkansas,05,total,41378
2007,California,06,female,276403
2007,California,06,male,290011
2007,California,06,total,566414
2007,Colorado,08,female,34515
2007,Colorado,08,male,36294
2007,Colorado,08,total,70809
2007,Connecticut,09,female,20388
2007,Connecticut,09,male,21272
2007,Connecticut,09,total,41660
2007,Delaware,10,female,5990
2007,Delaware,10,male,6180
2007,Delaware,10,total,12170
2007,District of Columbia,11,female,4323
2007,District of Columbia,11,male,4541
2007,District of Columbia,11,total,8864
2007,Florida,12,female,116642
2007,Florida,12,male,122523
2007,Florida,12,total,239165
2007,Georgia,13,female,73854
2007,Georgia,13,male,77283
2007,Georgia,13,total,151137
2007,Hawaii,15,female,9276
2007,Hawaii,15,male,9858
2007,Hawaii,15,total,19134
2007,Idaho,16,female,12128
2007,Idaho,16,male,12891
2007,Idaho,16,total,25019
2007,Illinois,17,female,88555
2007,Illinois,17,male,92281
2007,Illinois,17,total,180836
2007,Indiana,18,female,43843
2007,Indiana,18,male,46021
2007,Indiana,18,total,89864
2007,Iowa,19,female,19950
2007,Iowa,19,male,20936
2007,Iowa,19,total,40886
2007,Kansas,20,female,20558
2007,Kansas,20,male,21446
2007,Kansas,20,total,42004
2007,Kentucky,21,female,29053
2007,Kentucky,21,male,30315
2007,Kentucky,21,total,59368
2007,Louisiana,22,female,32585
2007,Louisiana,22,male,33716
2007,Louisiana,22,total,66301
2007,Maine,23,female,6897
2007,Maine,23,male,7223
2007,Maine,23,total,14120
2007,Maryland,24,female,38215
2007,Maryland,24,male,39880
2007,Maryland,24,total,78095
2007,Massachusetts,25,female,37924
2007,Massachusetts,25,male,40043
2007,Massachusetts,25,total,77967
2007,Michigan,26,female,60942
2007,Michigan,26,male,64319
2007,Michigan,26,total,125261
2007,Minnesota,27,female,36235
2007,Minnesota,27,male,37500
2007,Minnesota,27,total,73735
2007,Mississippi,28,female,22669
2007,Mississippi,28,male,23822
2007,Mississippi,28,total,46491
2007,Missouri,29,female,40112
2007,Missouri,29,male,41818
2007,Missouri,29,total,81930
2007,Montana,30,female,6073
2007,Montana,30,male,6366
2007,Montana,30,total,12439
2007,Nebraska,31,female,13065
2007,Nebraska,31,male,13869
2007,Nebraska,31,total,26934
2007,Nevada,32,female,20122
2007,Nevada,32,male,21059
2007,Nevada,32,total,41181
2007,New Hampshire,33,female,6901
