"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	Births
	"2007"	"2007"	"Alabama"	"01"	"Female"	"F"	31942
	"2007"	"2007"	"Alabama"	"01"	"Male"	"M"	32862
"Total"	"2007"	"2007"	"Alabama"	"01"			64804
	"2007"	"2007"	"Alaska"	"02"	"Female"	"F"	5373
	"2007"	"2007"	"Alaska"	"02"	"Male"	"M"	5679
"Total"	"2007"	"2007"	"Alaska"	"02"			11052
	"2007"	"2007"	"Arizona"	"04"	"Female"	"F"	50300
	"2007"	"2007"	"Arizona"	"04"	"Male"	"M"	52681
"Total"	"2007"	"2007"	"Arizona"	"04"			102981
	"2007"	"2007"	"Arkansas"	"05"	"Female"	"F"	20185
	"2007"	"2007"	"Arkansas"	"05"	"Male"	"M"	21193
"Total"	"2007"	"2007"	"Arkansas"	"05"			41378
	"2007"	"2007"	"California"	"06"	"Female"	"F"	276403
	"2007"	"2007"	"California"	"06"	"Male"	"M"	290011
"Total"	"2007"	"2007"	"California"	"06"			566414
	"2007"	"2007"	"Colorado"	"08"	"Female"	"F"	34515
	"2007"	"2007"	"Colorado"	"08"	"Male"	"M"	36294
"Total"	"2007"	"2007"	"Colorado"	"08"			70809
	"2007"	"2007"	"Connecticut"	"09"	"Female"	"F"	20388
	"2007"	"2007"	"Connecticut"	"09"	"Male"	"M"	21272
"Total"	"2007"	"2007"	"Connecticut"	"09"			41660
	"2007"	"2007"	"Delaware"	"10"	"Female"	"F"	5990
	"2007"	"2007"	"Delaware"	"10"	"Male"	"M"	6180
"Total"	"2007"	"2007"	"Delaware"	"10"			12170
	"2007"	"2007"	"District of Columbia"	"11"	"Female"	"F"	4323
	"2007"	"2007"	"District of Columbia"	"11"	"Male"	"M"	4541
"Total"	"2007"	"2007"	"District of Columbia"	"11"			8864
	"2007"	"2007"	"Florida"	"12"	"Female"	"F"	116642
	"2007"	"2007"	"Florida"	"12"	"Male"	"M"	122523
"Total"	"2007"	"2007"	"Florida"	"12"			239165
	"2007"	"2007"	"Georgia"	"13"	"Female"	"F"	73854
	"2007"	"2007"	"Georgia"	"13"	"Male"	"M"	77283
"Total"	"2007"	"2007"	"Georgia"	"13"			151137
	"2007"	"2007"	"Hawaii"	"15"	"Female"	"F"	9276
	"2007"	"2007"	"Hawaii"	"15"	"Male"	"M"	9858
"Total"	"2007"	"2007"	"Hawaii"	"15"			19134
	"2007"	"2007"	"Idaho"	"16"	"Female"	"F"	12128
	"2007"	"2007"	"Idaho"	"16"	"Male"	"M"	12891
"Total"	"2007"	"2007"	"Idaho"	"16"			25019
	"2007"	"2007"	"Illinois"	"17"	"Female"	"F"	88555
	"2007"	"2007"	"Illinois"	"17"	"Male"	"M"	92281
"Total"	"2007"	"2007"	"Illinois"	"17"			180836
	"2007"	"2007"	"Indiana"	"18"	"Female"	"F"	43843
	"2007"	"2007"	"Indiana"	"18"	"Male"	"M"	46021
"Total"	"2007"	"2007"	"Indiana"	"18"			89864
	"2007"	"2007"	"Iowa"	"19"	"Female"	"F"	19950
	"2007"	"2007"	"Iowa"	"19"	"Male"	"M"	20936
"Total"	"2007"	"2007"	"Iowa"	"19"			40886
	"2007"	"2007"	"Kansas"	"20"	"Female"	"F"	20558
	"2007"	"2007"	"Kansas"	"20"	"Male"	"M"	21446
"Total"	"2007"	"2007"	"Kansas"	"20"			42004
	"2007"	"2007"	"Kentucky"	"21"	"Female"	"F"	29053
	"2007"	"2007"	"Kentucky"	"21"	"Male"	"M"	30315
"Total"	"2007"	"2007"	"Kentucky"	"21"			59368
	"2007"	"2007"	"Louisiana"	"22"	"Female"	"F"	32585
	"2007"	"2007"	"Louisiana"	"22"	"Male"	"M"	33716
"Total"	"2007"	"2007"	"Louisiana"	"22"			66301
	"2007"	"2007"	"Maine"	"23"	"Female"	"F"	6897
	"2007"	"2007"	"Maine"	"23"	"Male"	"M"	7223
"Total"	"2007"	"2007"	"Maine"	"23"			14120
	"2007"	"2007"	"Maryland"	"24"	"Female"	"F"	38215
	"2007"	"2007"	"Maryland"	"24"	"Male"	"M"	39880
"Total"	"2007"	"2007"	"Maryland"	"24"			78095
	"2007"	"2007"	"Massachusetts"	"25"	"Female"	"F"	37924
	"2007"	"2007"	"Massachusetts"	"25"	"Male"	"M"	40043
"Total"	"2007"	"2007"	"Massachusetts"	"25"			77967
	"2007"	"2007"	"Michigan"	"26"	"Female"	"F"	60942
	"2007"	"2007"	"Michigan"	"26"	"Male"	"M"	64319
"Total"	"2007"	"2007"	"Michigan"	"26"			125261
	"2007"	"2007"	"Minnesota"	"27"	"Female"	"F"	36235
	"2007"	"2007"	"Minnesota"	"27"	"Male"	"M"	37500
"Total"	"2007"	"2007"	"Minnesota"	"27"			73735
	"2007"	"2007"	"Mississippi"	"28"	"Female"	"F"	22669
	"2007"	"2007"	"Mississippi"	"28"	"Male"	"M"	23822
"Total"	"2007"	"2007"	"Mississippi"	"28"			46491
	"2007"	"2007"	"Missouri"	"29"	"Female"	"F"	40112
	"2007"	"2007"	"Missouri"	"29"	"Male"	"M"	41818
"Total"	"2007"	"2007"	"Missouri"	"29"			81930
	"2007"	"2007"	"Montana"	"30"	"Female"	"F"	6073
	"2007"	"2007"	"Montana"	"30"	"Male"	"M"	6366
"Total"	"2007"	"2007"	"Montana"	"30"			12439
	"2007"	"2007"	"Nebraska"	"31"	"Female"	"F"	13065
	"2007"	"2007"	"Nebraska"	"31"	"Male"	"M"	13869
"Total"	"2007"	"2007"	"Nebraska"	"31"			26934
	"2007"	"2007"	"Nevada"	"32"	"Female"	"F"	20122
	"2007"	"2007"	"Nevada"	"32"	"Male"	"M"	21059
"Total"	"2007"	"2007"	"Nevada"	"32"			41181
	"2007"	"2007"	"New Hampshire"	"33"	"Female"	"F"	6901
	"2007"	"2007"	"New Hampshire"	"33"	"Male"	"M"	7267
"Total"	"2007"	"2007"	"New Hampshire"	"33"			14168
	"2007"	"2007"	"New Jersey"	"34"	"Female"	"F"	56974
	"2007"	"2007"	"New Jersey"	"34"	"Male"	"M"	59089
"Total"	"2007"	"2007"	"New Jersey"	"34"			116063
	"2007"	"2007"	"New Mexico"	"35"	"Female"	"F"	14891
	"2007"	"2007"	"New Mexico"	"35"	"Male"	"M"	15725
"Total"	"2007"	"2007"	"New Mexico"	"35"			30616
	"2007"	"2007"	"New York"	"36"	"Female"	"F"	124013
	"2007"	"2007"	"New York"	"36"	"Male"	"M"	129438
"Total"	"2007"	"2007"	"New York"	"36"			253451
	"2007"	"2007"	"North Carolina"	"37"	"Female"	"F"	63804
	"2007"	"2007"	"North Carolina"	"37"	"Male"	"M"	67233
"Total"	"2007"	"2007"	"North Carolina"	"37"			131037
	"2007"	"2007"	"North Dakota"	"38"	"Female"	"F"	4283
	"2007"	"2007"	"North Dakota"	"38"	"Male"	"M"	4557
"Total"	"2007"	"2007"	"North Dakota"	"38"			8840
	"2007"	"2007"	"Ohio"	"39"	"Female"	"F"	73759
	"2007"	"2007"	"Ohio"	"39"	"Male"	"M"	77120
"Total"	"2007"	"2007"	"Ohio"	"39"			150879
	"2007"	"2007"	"Oklahoma"	"40"	"Female"	"F"	26947
	"2007"	"2007"	"Oklahoma"	"40"	"Male"	"M"	28118
"Total"	"2007"	"2007"	"Oklahoma"	"40"			55065
	"2007"	"2007"	"Oregon"	"41"	"Female"	"F"	24075
	"2007"	"2007"	"Oregon"	"41"	"Male"	"M"	25303
"Total"	"2007"	"2007"	"Oregon"	"41"			49378
	"2007"	"2007"	"Pennsylvania"	"42"	"Female"	"F"	73484
	"2007"	"2007"	"Pennsylvania"	"42"	"Male"	"M"	77229
"Total"	"2007"	"2007"	"Pennsylvania"	"42"			150713
	"2007"	"2007"	"Rhode Island"	"44"	"Female"	"F"	5988
	"2007"	"2007"	"Rhode Island"	"44"	"Male"	"M"	6388
"Total"	"2007"	"2007"	"Rhode Island"	"44"			12376
	"2007"	"2007"	"South Carolina"	"45"	"Female"	"F"	30838
	"2007"	"2007"	"South Carolina"	"45"	"Male"	"M"	32037
"Total"	"2007"	"2007"	"South Carolina"	"45"			62875
	"2007"	"2007"	"South Dakota"	"46"	"Female"	"F"	5951
	"2007"	"2007"	"South Dakota"	"46"	"Male"	"M"	6310
"Total"	"2007"	"2007"	"South Dakota"	"46"			12261
	"2007"	"2007"	"Tennessee"	"47"	"Female"	"F"	42331
	"2007"	"2007"	"Tennessee"	"47"	"Male"	"M"	44380
"Total"	"2007"	"2007"	"Tennessee"	"47"			86711
	"2007"	"2007"	"Texas"	"48"	"Female"	"F"	199308
	"2007"	"2007"	"Texas"	"48"	"Male"	"M"	208317
"Total"	"2007"	"2007"	"Texas"	"48"			407625
	"2007"	"2007"	"Utah"	"49"	"Female"	"F"	26761
	"2007"	"2007"	"Utah"	"49"	"Male"	"M"	28369
"Total"	"2007"	"2007"	"Utah"	"49"			55130
	"2007"	"2007"	"Vermont"	"50"	"Female"	"F"	3214
	"2007"	"2007"	"Vermont"	"50"	"Male"	"M"	3299
"Total"	"2007"	"2007"	"Vermont"	"50"			6513
	"2007"	"2007"	"Virginia"	"51"	"Female"	"F"	53173
	"2007"	"2007"	"Virginia"	"51"	"Male"	"M"	55711
"Total"	"2007"	"2007"	"Virginia"	"51"			108884
	"2007"	"2007"	"Washington"	"53"	"Female"	"F"	43241
	"2007"	"2007"	"Washington"	"53"	"Male"	"M"	45737
"Total"	"2007"	"2007"	"Washington"	"53"			88978
	"2007"	"2007"	"West Virginia"	"54"	"Female"	"F"	10705
	"2007"	"2007"	"West Virginia"	"54"	"Male"	"M"	11289
"Total"	"2007"	"2007"	"West Virginia"	"54"			21994
	"2007"	"2007"	"Wisconsin"	"55"	"Female"	"F"	35524
	"2007"	"2007"	"Wisconsin"	"55"	"Male"	"M"	37260
"Total"	"2007"	"2007"	"Wisconsin"	"55"			72784
